metacyc_id,Name,exposure,coef,stderr,pval,k,tau2,stderr.tau2,pval.tau2,I2,H2,weight_Derosa,weight_Lee,weight_McCulloch,weight_Routy,weight_Spencer,pval.bonf,qval.fdr,fdr,val,baseMean,Significance,Increased_in
PWY-6629,superpathway of L-tryptophan biosynthesis,Responder,4.7844611531028014e-4,1.303890155037623e-4,2.431447636433626e-4,5,0,5.982271696006402e-8,0.7090250372183213,0,1,56.15455369558774,6.552457451461192,0.3091491598484458,23.1775248718562,13.806314821246414,0.06127248043812737,0.06127248043812737,0.06127248043812737,3.6693743983094564,4291162.953898397,P<0.05,Responder
COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis,Responder,5.35500087355761e-4,1.7858175966406974e-4,0.002711990957632015,5,1.9376129043669064e-8,1.106176618274837e-7,0.5310953435859546,10.339583996908411,1.1153193846050402,53.104206665827434,8.613487971146164,0.273694032720994,23.151452513578615,14.857158816726798,0.6834217213232677,0.34171086066163386,0.34171086066163386,2.9986270062692326,5702754.326643845,P<0.05,Responder
PWY-5484,glycolysis II (from fructose 6-phosphate),Responder,-4.468239019438578e-4,1.6206219244889288e-4,0.00583140587129972,5,0,8.870220489792827e-8,0.7980976402224527,0,1,53.11308285452504,5.978999357732549,0.30953861538991867,27.3829306736115,13.21544849874099,1,0.4657835446393778,0.4657835446393778,-2.7571137672024646,2871746.766605665,P<0.05,Non-responder
GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),Responder,-4.39437566166056e-4,1.6485505598952342e-4,0.0076851170315602275,5,0,9.161106583688333e-8,0.7478317944040678,0,1,52.877761209949334,6.045270835549936,0.397067649092454,27.803351808088593,12.876548497319673,1,0.4657835446393778,0.4657835446393778,-2.665599568835683,3003124.1744449344,P<0.05,Non-responder
GLUTORN-PWY,L-ornithine biosynthesis I,Responder,4.5550377490180104e-4,1.7908207809242462e-4,0.010973313097176774,5,1.9106297573406962e-8,1.09470018174621e-7,0.5153991235334107,10.376060798749588,1.1157733178347602,50.658007330430465,9.553978384163713,0.20395903917490343,24.135392895516446,15.448662350714471,1,0.4657835446393778,0.4657835446393778,2.543547516054145,3505333.9777634074,P<0.05,Responder
ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),Responder,5.489443327616164e-4,2.189880577232437e-4,0.012185312390958696,5,0,1.6789401942413825e-7,0.6658244587253038,0,1,53.53663339314924,10.403886714007665,0.20631195240507402,22.558993725415114,13.294174215022911,1,0.4657835446393778,0.4657835446393778,2.50673182121817,4391566.00810728,P<0.05,Responder
RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants),Responder,4.502552581447609e-4,1.8115574319069747e-4,0.012938431795538273,5,4.293948534640654e-8,1.0967327853818423e-7,0.347498330692414,26.038500711934496,1.3520547982744326,44.88965410903831,10.083285082651223,0.8161933001268965,22.296791113840484,21.914076394343088,1,0.4657835446393778,0.4657835446393778,2.485459473789854,3692435.377665172,P<0.05,Responder
PWY-6527,stachyose degradation,Responder,3.6902403416490964e-4,1.6349172343980536e-4,0.023999203764532788,5,0,9.042191337940026e-8,0.8012228565219299,0,1,49.84229214505325,8.57606675789644,0.24634710591443146,24.546574186245426,16.788719804890455,1,0.7559749185827829,0.7559749185827829,2.2571419910487243,2363774.0726098535,P<0.05,Responder
PWY-5188,tetrapyrrole biosynthesis I (from glutamate),Responder,2.023352960746394e-4,9.77869026817198e-5,0.038532467344258685,5,0,3.1492029522173016e-8,0.41777808574120817,0,1,47.051609825197325,9.220341430760296,0.4254334155395274,31.058117469233416,12.244497859269442,1,0.9983095638786016,0.9983095638786016,2.0691451567211137,1177577.1844076768,P<0.05,Responder
TRPSYN-PWY,L-tryptophan biosynthesis,Responder,4.148792753262084e-4,2.02456911968252e-4,0.04044035514593613,5,6.504480989499719e-8,1.3693338306908238e-7,0.5408679493376658,33.254145483689605,1.4982203872386326,40.98416864933913,10.511537433381696,2.427586872625355,27.373985480125306,18.70272156452851,1,0.9983095638786016,0.9983095638786016,2.049222579228449,3502029.4505787366,P<0.05,Responder
