Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_id,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR5127392,WGS,199,4397356968,PRJNA319574,SAMN06110334,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",3160044634,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441670,Netherlands,Europe,Netherlands,Homo sapiens,HV416,Illumina HiSeq 2000,Missing,G89074_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89074,SRP095580
SRR5127393,WGS,197,3891188817,PRJNA319574,SAMN06110224,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1591488798,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441671,Netherlands,Europe,Netherlands,Homo sapiens,HV323,Illumina HiSeq 2000,Missing,G88954_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88954,SRP095580
SRR5127394,WGS,198,4038367980,PRJNA319574,SAMN06110062,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2937833814,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441672,Netherlands,Europe,Netherlands,Homo sapiens,HV009,Illumina HiSeq 2000,Missing,G88774_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88774,SRP095580
SRR5127395,WGS,198,3505995366,PRJNA319574,SAMN06110175,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1906664105,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441673,Netherlands,Europe,Netherlands,Homo sapiens,HV426,Illumina HiSeq 2000,Missing,G88900_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88900,SRP095580
SRR5127396,WGS,195,2330228835,PRJNA319574,SAMN06110167,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1157010667,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441674,Netherlands,Europe,Netherlands,Homo sapiens,HV083,Illumina HiSeq 2000,Missing,G88892_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88892,SRP095580
SRR5127397,WGS,198,3825656865,PRJNA319574,SAMN06110376,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",2772929821,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441675,Netherlands,Europe,Netherlands,Homo sapiens,HV276,Illumina HiSeq 2000,Missing,G89124_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G89124,SRP095580
SRR5127398,WGS,197,1841934886,PRJNA319574,SAMN06110010,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",766154427,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441676,Netherlands,Europe,Netherlands,Homo sapiens,HV056,Illumina HiSeq 2000,Missing,G88709_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88709,SRP095580
SRR5127399,WGS,197,2100295243,PRJNA319574,SAMN06110221,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1369656752,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441677,Netherlands,Europe,Netherlands,Homo sapiens,HV494,Illumina HiSeq 2000,Missing,G88951_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88951,SRP095580
SRR5127400,WGS,197,2459663995,PRJNA319574,SAMN06110008,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1597546757,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441678,Netherlands,Europe,Netherlands,Homo sapiens,HV050,Illumina HiSeq 2000,Missing,G88707_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88707,SRP095580
SRR5127401,WGS,197,2643207501,PRJNA319574,SAMN06110254,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1703390584,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441679,Netherlands,Europe,Netherlands,Homo sapiens,HV524,Illumina HiSeq 2000,Missing,G88987_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88987,SRP095580
SRR5127402,WGS,197,3346052608,PRJNA319574,SAMN06110105,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",1388494886,BROAD INSTITUTUE,2013/2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ENVO:00009003,ENVO:2100002,ENVO:00002003,SRX2441680,Netherlands,Europe,Netherlands,Homo sapiens,HV249,Illumina HiSeq 2000,Missing,G88825_pe,PAIRED,RANDOM,METAGENOMIC,human gut metagenome,ILLUMINA,2016-12-27T00:00:00Z,G88825,SRP095580
